model_id,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate,
cnn_20240310_222834,1,0.062760003,4.410863876,0.0138,5.225205421,0.001,
cnn_20240310_222834,2,0.101279996,3.96206069,0.151099995,3.557677031,0.001,
cnn_20240310_222834,3,0.125880003,3.761636257,0.1796,3.394183636,0.001,
cnn_20240310_222834,4,0.146259993,3.631810665,0.227699995,3.162969351,0.001,
cnn_20240310_222834,5,0.159580007,3.542865276,0.240400001,3.057785511,0.001,
cnn_20240310_222834,6,0.171800002,3.465742826,0.238399997,3.082709074,0.001,
cnn_20240310_222834,7,0.181260005,3.406817913,0.27579999,2.893723011,0.001,
cnn_20240310_222834,8,0.187519997,3.366776228,0.287900001,2.855481386,0.001,
cnn_20240310_222834,9,0.196600005,3.331524372,0.245800003,3.043994427,0.001,
cnn_20240310_222834,10,0.200059995,3.296818733,0.297300011,2.801462412,0.001,
cnn_20240310_222834,11,0.203339994,3.274811029,0.323399991,2.684886217,0.001,
cnn_20240310_222834,12,0.208859995,3.253430367,0.312599987,2.742964029,0.001,
cnn_20240310_222834,13,0.212300003,3.237947464,0.270799994,2.936733723,0.001,
cnn_20240310_222834,14,0.22958,3.150014162,0.338699996,2.621318579,0.0002,
cnn_20240310_222834,15,0.233820006,3.12306881,0.312999994,2.743240833,0.0002,
cnn_20240310_230509,1,0.098379999,4.111679554,0.032499999,5.113226414,0.001,
cnn_20240310_230509,2,0.161840007,3.580023527,0.153500006,3.584125042,0.001,
cnn_20240310_230509,3,0.195999995,3.356124401,0.207599998,3.347984791,0.001,
cnn_20240310_230509,4,0.219819993,3.208203077,0.154100001,3.82689929,0.001,
cnn_20240310_230509,5,0.236560002,3.106188536,0.284700006,2.856333494,0.001,
cnn_20240310_230509,6,0.252279997,3.021982193,0.272100002,2.970534801,0.001,
cnn_20240310_230509,7,0.268299997,2.95587635,0.296600014,2.831383228,0.001,
cnn_20240310_230509,8,0.276459992,2.901494265,0.319999993,2.703580141,0.001,
cnn_20240310_230509,9,0.287400007,2.854907274,0.309100002,2.786708117,0.001,
cnn_20240310_230509,10,0.293740004,2.811635971,0.310799986,2.785398245,0.001,
cnn_20240310_230509,11,0.313980013,2.713179111,0.39410001,2.360386372,0.0002,
cnn_20240310_230509,12,0.321999997,2.679415226,0.393599987,2.377068758,0.0002,
cnn_20240310_230509,13,0.327340007,2.65021348,0.381599993,2.43201828,0.0002,
cnn_20240310_230509,14,0.331039995,2.634335995,0.382099986,2.42574954,4.00E-05,
cnn_20240310_230509,15,0.334540009,2.616313219,0.387899995,2.407138586,4.00E-05,
cnn_20240310_231725,1,0.069420002,4.3605299,0.023499999,4.832948208,0.001,
cnn_20240310_231725,2,0.110100001,3.882971048,0.130799994,3.6450243,0.001,
cnn_20240310_231725,3,0.139579996,3.67431283,0.157399997,3.461320639,0.001,
cnn_20240310_231725,4,0.155259997,3.555920839,0.1505,3.637809753,0.001,
cnn_20240310_231725,5,0.169100001,3.468862534,0.1884,3.371646166,0.001,
cnn_20240310_231725,6,0.18242,3.403908491,0.261999995,2.969094038,0.001,
cnn_20240310_231725,7,0.19156,3.347814322,0.180899993,3.439388275,0.001,
cnn_20240310_231725,8,0.197260007,3.305738449,0.231700003,3.12279892,0.001,
cnn_20240310_231725,9,0.214760005,3.212685347,0.230000004,3.11988163,0.0002,
cnn_20240310_231725,10,0.220840007,3.178741217,0.273499995,2.902690411,0.0002,
cnn_20240310_231725,11,0.221579999,3.168937922,0.261400014,2.959976196,0.0002,
cnn_20240310_231725,12,0.227720007,3.149627209,0.28490001,2.858934641,0.0002,
cnn_20240310_231725,13,0.229179993,3.131058216,0.270900011,2.914998531,0.0002,
cnn_20240310_231725,14,0.230939999,3.131671667,0.255299985,2.987101555,0.0002,
cnn_20240310_231725,15,0.23522,3.110139132,0.268299997,2.930642605,4.00E-05,
cnn_20240311_020637,1,0.07728,4.294316769,0.031599998,4.64978838,0.001,
cnn_20240311_020637,2,0.129539996,3.770324945,0.203500003,3.30728364,0.001,
cnn_20240311_020637,3,0.162080005,3.539717197,0.235599995,3.091437817,0.001,
cnn_20240311_020637,4,0.184520006,3.380200624,0.263099998,2.959036112,0.001,
cnn_20240311_020637,5,0.207739994,3.264296532,0.226400003,3.161604404,0.001,
cnn_20240311_020637,6,0.222159997,3.17377615,0.312299997,2.721630573,0.001,
cnn_20240311_020637,7,0.237880006,3.101035833,0.299199998,2.77998805,0.001,
cnn_20240311_020637,8,0.247820005,3.042439699,0.216499999,3.325246572,0.001,
cnn_20240311_020637,9,0.269259989,2.924806833,0.341800004,2.574704885,0.0002,
cnn_20240311_020637,10,0.278899997,2.885771275,0.3583,2.480613947,0.0002,
cnn_20240311_020637,11,0.283300012,2.857923508,0.372599989,2.428753614,0.0002,
cnn_20240311_020637,12,0.289400011,2.836881876,0.358900011,2.484706163,0.0002,
cnn_20240311_020637,13,0.286940008,2.823254108,0.359400004,2.479367971,0.0002,
cnn_20240311_020637,14,0.296620011,2.794687748,0.364800006,2.464087009,4.00E-05,
cnn_20240311_020637,15,0.294880003,2.791246176,0.351599991,2.52810955,4.00E-05,
cnn_20240311_024447,1,0.073100001,4.309284687,0.0232,4.638130665,0.001,
cnn_20240311_024447,2,0.13222,3.760719061,0.145400003,3.693824291,0.001,
cnn_20240311_024447,3,0.162780002,3.532399178,0.2491,3.065657854,0.001,
cnn_20240311_024447,4,0.186000004,3.383840084,0.293900013,2.827952862,0.001,
cnn_20240311_024447,5,0.208979994,3.256235361,0.271200001,2.926592112,0.001,
cnn_20240311_024447,6,0.22484,3.16279006,0.270900011,2.880996943,0.001,
cnn_20240311_024447,7,0.251379997,3.023514271,0.323100001,2.662124395,0.0002,
cnn_20240311_024447,8,0.258579999,2.986009121,0.333600014,2.613301277,0.0002,
cnn_20240311_024447,9,0.263599992,2.962226868,0.310699999,2.716228485,0.0002,
cnn_20240311_024447,10,0.268519998,2.93255806,0.349999994,2.542263031,0.0002,
cnn_20240311_024447,11,0.27353999,2.919328451,0.353899986,2.504926682,0.0002,
cnn_20240311_024447,12,0.272359997,2.898266554,0.350800008,2.542844057,0.0002,
cnn_20240311_024447,13,0.277700007,2.887054682,0.34740001,2.555073738,0.0002,
cnn_20240311_024447,14,0.283419997,2.84352541,0.351900011,2.519095659,4.00E-05,
cnn_20240311_024447,15,0.287299991,2.846966505,0.355599999,2.528828382,4.00E-05,
cnn_20240311_152109,1,0.065260001,4.336310863,0.126000002,3.815887928,0.001,
cnn_20240311_152109,2,0.111939996,3.868875027,0.143099993,3.61160779,0.001,
cnn_20240311_152109,3,0.143380001,3.618599176,0.2016,3.280150414,0.001,
cnn_20240311_152109,4,0.172979996,3.437700033,0.240199998,3.092063904,0.001,
cnn_20240311_152109,5,0.198540002,3.299313068,0.262800008,2.97682023,0.001,
cnn_20240311_152109,6,0.216440007,3.192124128,0.276199996,2.874327898,0.001,
cnn_20240311_152109,7,0.232160002,3.100759268,0.282400012,2.849851847,0.001,
cnn_20240311_152109,8,0.249699995,3.020261526,0.312700003,2.694094419,0.001,
cnn_20240311_152109,9,0.261799991,2.954884768,0.330599993,2.603192806,0.001,
cnn_20240311_152109,10,0.275579989,2.889305353,0.301200002,2.742874622,0.001,
cnn_20240311_152109,11,0.282299995,2.847043991,0.336299986,2.588785648,0.001,
cnn_20240311_152109,12,0.293720007,2.788580894,0.354799986,2.495862722,0.001,
cnn_20240311_152109,13,0.302700013,2.749161482,0.346399993,2.547647476,0.001,
cnn_20240311_152109,14,0.307579994,2.715959787,0.379200011,2.378345966,0.001,
cnn_20240311_152109,15,0.314859986,2.680077791,0.321999997,2.703475952,0.001,
cnn_20240311_183413,1,0.08162,4.192806721,0.136299998,3.838557005,0.001,
cnn_20240311_183413,2,0.138940006,3.666331768,0.205699995,3.258738756,0.001,
cnn_20240311_183413,3,0.190559998,3.359131336,0.254000008,3.030270338,0.001,
cnn_20240311_183413,4,0.226060003,3.140139341,0.287699997,2.824781179,0.001,
cnn_20240311_183413,5,0.252319992,3.007497549,0.292499989,2.804857016,0.001,
cnn_20240311_183413,6,0.278120011,2.861330509,0.323300004,2.719942331,0.001,
cnn_20240311_183413,7,0.302219987,2.755318642,0.340999991,2.593607426,0.001,
cnn_20240311_183413,8,0.316419989,2.682394028,0.320899993,2.752125263,0.001,
cnn_20240311_183413,9,0.331259996,2.604926109,0.344599992,2.67305541,0.001,
cnn_20240311_183413,10,0.370660007,2.424986839,0.429899991,2.175840855,0.0002,
cnn_20240311_183413,11,0.379240006,2.384488344,0.425300002,2.210635662,0.0002,
cnn_20240311_183413,12,0.388020009,2.338354588,0.439799994,2.148701429,0.0002,
cnn_20240311_183413,13,0.391579986,2.32447052,0.444000006,2.117497444,0.0002,
cnn_20240311_183413,14,0.397020012,2.294453859,0.42750001,2.183336973,0.0002,
cnn_20240311_183413,15,0.402280003,2.277113914,0.451799989,2.076722145,0.0002,
cnn_20240311_183413,16,0.406340003,2.253872871,0.454600006,2.067969561,0.0002,
cnn_20240311_183413,17,0.409940004,2.235495806,0.44659999,2.105803251,0.0002,
cnn_20240311_183413,18,0.415199995,2.220393658,0.446799994,2.127843857,0.0002,
cnn_20240311_183413,19,0.426319987,2.167866707,0.471799999,2.003355742,4.00E-05,
cnn_20240311_183413,20,0.427040011,2.163398981,0.465499997,2.012901545,4.00E-05,
cnn_20240311_183413,21,0.427560002,2.160958767,0.468699992,1.99767971,4.00E-05,
cnn_20240311_183413,22,0.426759988,2.155775785,0.467099994,2.009855747,4.00E-05,
cnn_20240311_183413,23,0.428640008,2.142932415,0.466500014,2.017114401,4.00E-05,
cnn_20240311_183413,24,0.43336001,2.13589406,0.469999999,1.998164058,8.00E-06,
cnn_20240311_183413,25,0.432399988,2.144023657,0.469599992,2.00519228,8.00E-06,
cnn_20240311_183413,26,0.436879992,2.122520208,0.469900012,1.999819875,1.60E-06,
cnn_20240311_221423,1,0.103660002,3.95740366,0.192000002,3.446461439,0.001,
cnn_20240311_221423,2,0.176919997,3.507031679,0.235799998,3.198008299,0.001,
cnn_20240311_221423,3,0.209199995,3.327956915,0.261700004,3.085062742,0.001,
cnn_20240311_221423,4,0.232179999,3.197009087,0.292199999,2.906649113,0.001,
cnn_20240311_221423,5,0.253679991,3.101385117,0.288199991,2.937345028,0.001,
cnn_20240311_221423,6,0.26256001,3.035993338,0.314900011,2.836460829,0.001,
cnn_20240311_221423,7,0.275640011,2.975413799,0.350800008,2.640406609,0.001,
cnn_20240311_221423,8,0.285560012,2.933504581,0.344700009,2.670613766,0.001,
cnn_20240311_221423,9,0.292279989,2.889924765,0.354200006,2.633959293,0.001,
cnn_20240311_221423,10,0.294999987,2.859853983,0.364600003,2.546089888,0.001,
cnn_20240311_222016,1,0.113619998,3.868077517,0.189500004,3.447686672,0.001,
cnn_20240311_222016,2,0.186800003,3.445882559,0.263599992,3.074852943,0.001,
cnn_20240311_222016,3,0.221540004,3.261398792,0.28490001,2.979463816,0.001,
cnn_20240311_222016,4,0.246539995,3.127141953,0.325199991,2.760235071,0.001,
cnn_20240311_222016,5,0.263060004,3.022322416,0.334300011,2.708503723,0.001,
cnn_20240311_222016,6,0.280019999,2.948788166,0.343100011,2.656053066,0.001,
cnn_20240311_222016,7,0.293280005,2.877300262,0.355800003,2.618386745,0.001,
cnn_20240311_222016,8,0.304239988,2.830265999,0.369899988,2.560863733,0.001,
cnn_20240311_222016,9,0.314099997,2.776212931,0.376399994,2.53234601,0.001,
cnn_20240311_222016,10,0.31911999,2.752451181,0.378399998,2.495482683,0.001,
cnn_20240311_222836,1,0.100599997,3.95148778,0.198599994,3.392699957,0.001,
cnn_20240311_222836,2,0.181160003,3.459553719,0.264800012,3.078107357,0.001,
cnn_20240311_222836,3,0.21638,3.267828226,0.270999998,2.997466564,0.001,
cnn_20240311_222836,4,0.239399999,3.140908957,0.308499992,2.832758427,0.001,
cnn_20240311_222836,5,0.258459985,3.050313711,0.312999994,2.778800488,0.001,
cnn_20240311_222836,6,0.271539986,2.974156141,0.324299991,2.759774923,0.001,
cnn_20240311_222836,7,0.282099992,2.927850723,0.340299994,2.624272585,0.001,
cnn_20240311_222836,8,0.290280014,2.875253677,0.360300004,2.574840784,0.001,
cnn_20240311_222836,9,0.298400015,2.829478025,0.370599985,2.535161257,0.001,
cnn_20240311_222836,10,0.307280004,2.787009954,0.359100014,2.589339972,0.001,
cnn_20240311_222836,11,0.31220001,2.761899948,0.372799993,2.507199526,0.001,
cnn_20240311_222836,12,0.320360005,2.734851599,0.372700006,2.508563995,0.001,
cnn_20240311_222836,13,0.322860003,2.710709572,0.380800009,2.474998713,0.001,
cnn_20240311_222836,14,0.328159988,2.689726591,0.394800007,2.391010046,0.001,
cnn_20240311_222836,15,0.331259996,2.670317888,0.372799993,2.519405365,0.001,
cnn_20240311_224732,1,0.206379995,3.439193964,0.273499995,3.060420036,0.001,
cnn_20240311_224732,2,0.341560006,2.728218555,0.310600013,2.946325779,0.001,
cnn_20240311_224732,3,0.408179998,2.398282766,0.327199996,2.860707521,0.001,
cnn_20240311_224732,4,0.466300011,2.135945082,0.337900013,2.882276297,0.001,
cnn_20240311_224732,5,0.515160024,1.901176095,0.340900004,2.918287039,0.001,
cnn_20240311_224732,6,0.560039997,1.702833772,0.348399997,2.963878393,0.001,
cnn_20240311_224732,7,0.666760027,1.2957201,0.362699986,2.925681353,0.0002,
cnn_20240311_224732,8,0.686020017,1.225225449,0.361799985,2.95498991,0.0002,
cnn_20240311_224732,9,0.696439981,1.182219028,0.36590001,2.955315828,0.0002,
cnn_20240311_224732,10,0.722899973,1.089857578,0.369199991,2.962416649,4.00E-05,
cnn_20240311_224732,11,0.726419985,1.07805419,0.367599994,2.970965624,4.00E-05,
cnn_20240311_225534,1,0.221259996,3.344447851,0.298599988,2.911828995,0.001,
cnn_20240311_225534,2,0.380659997,2.503236771,0.341199994,2.687330961,0.001,
cnn_20240311_225534,3,0.477620006,2.03761363,0.363400012,2.663581133,0.001,
cnn_20240311_225534,4,0.560580015,1.661753416,0.370599985,2.715691566,0.001,
cnn_20240311_225534,5,0.632499993,1.352053404,0.363499999,2.881719112,0.001,
cnn_20240311_225534,6,0.69749999,1.0928092,0.354799986,3.172770977,0.001,
cnn_20240311_225534,7,0.823599994,0.637255549,0.369500011,3.420316458,0.0002,
cnn_20240311_225534,8,0.844600022,0.555102229,0.367000014,3.623412848,0.0002,
cnn_20240311_225534,9,0.858039975,0.500818729,0.3662,3.733012199,0.0002,
cnn_20240311_225534,10,0.885999978,0.414944112,0.366400003,3.803948402,4.00E-05,
cnn_20240311_225534,11,0.888260007,0.402954102,0.367399991,3.844170332,4.00E-05,
cifar100_57accur,0,0.054760002,4.397053242,0.107100002,4.064000607,0.001,
cifar100_57accur,1,0.095459998,3.949360371,0.157600001,3.570777416,0.001,
cifar100_57accur,2,0.131760001,3.68837595,0.187099993,3.326328993,0.001,
cifar100_57accur,3,0.160699993,3.518577099,0.225199997,3.229840279,0.001,
cifar100_57accur,4,0.181020007,3.39410615,0.267500013,2.900822878,0.001,
cifar100_57accur,5,0.203140005,3.282482147,0.291900009,2.840982199,0.001,
cifar100_57accur,6,0.222139999,3.17612648,0.305599988,2.729645967,0.001,
cifar100_57accur,7,0.240940005,3.078044653,0.351799995,2.517647743,0.001,
cifar100_57accur,8,0.255540013,3.002799988,0.360000014,2.491160631,0.001,
cifar100_57accur,9,0.269279987,2.908964396,0.340600014,2.593032122,0.001,
cifar100_57accur,10,0.284799993,2.846431494,0.404100001,2.255509853,0.001,
cifar100_57accur,11,0.295940012,2.791680098,0.424400002,2.147631168,0.001,
cifar100_57accur,12,0.307880014,2.723322392,0.402700007,2.29999876,0.001,
cifar100_57accur,13,0.314040005,2.689234257,0.436199993,2.087719202,0.001,
cifar100_57accur,14,0.328500003,2.636998415,0.442799985,2.09359169,0.001,
cifar100_57accur,15,0.334019989,2.598537683,0.458700001,2.01021719,0.001,
cifar100_57accur,16,0.343699992,2.56356144,0.454600006,2.028749704,0.001,
cifar100_57accur,17,0.346480012,2.534596682,0.474799991,1.968685746,0.001,
cifar100_57accur,18,0.359140009,2.494868994,0.484100014,1.880073786,0.001,
cifar100_57accur,19,0.360579997,2.475620508,0.466300011,1.996083975,0.001,
cifar100_57accur,20,0.367220014,2.446084499,0.4824,1.920755506,0.001,
cifar100_57accur,21,0.376780003,2.412977219,0.500699997,1.822710991,0.001,
cifar100_57accur,22,0.378419995,2.396309137,0.496600002,1.833300829,0.001,
cifar100_57accur,23,0.383980006,2.377729416,0.489899993,1.89613986,0.001,
cifar100_57accur,24,0.388619989,2.345404863,0.500199974,1.837314248,0.001,
cifar100_57accur,25,0.394840002,2.326692104,0.499000013,1.832460761,0.001,
cifar100_57accur,26,0.39952001,2.312565565,0.515900016,1.744244337,0.001,
cifar100_57accur,27,0.404720008,2.278914213,0.51849997,1.760442376,0.001,
cifar100_57accur,28,0.407660007,2.271113396,0.543900013,1.63979888,0.001,
cifar100_57accur,29,0.408560008,2.248111725,0.524500012,1.720170736,0.001,
cifar100_57accur,30,0.412200004,2.239986897,0.528900027,1.722110748,0.001,
cifar100_57accur,31,0.419840008,2.22150898,0.522599995,1.785420537,0.001,
cifar100_57accur,32,0.422360003,2.197737217,0.552900016,1.625027657,0.001,
cifar100_57accur,33,0.423280001,2.198098183,0.549700022,1.636588216,0.001,
cifar100_57accur,34,0.429080009,2.175530195,0.546599984,1.62736702,0.001,
cifar100_57accur,35,0.432619989,2.15082407,0.548600018,1.635953665,0.001,
cifar100_57accur,36,0.434540004,2.152282,0.548099995,1.627671123,0.001,
cifar100_57accur,37,0.436040014,2.143152952,0.551400006,1.617228866,0.001,
cifar100_57accur,38,0.435840011,2.126977444,0.559199989,1.596411347,0.001,
cifar100_57accur,39,0.443379998,2.103442907,0.553200006,1.606756687,0.001,
cifar100_57accur,40,0.444379985,2.095661879,0.537599981,1.697163463,0.001,
cifar100_57accur,41,0.445560008,2.090907335,0.576099992,1.516123295,0.001,
cifar100_57accur,42,0.451620013,2.061830997,0.555700004,1.613411069,0.001,
cifar100_57accur,43,0.451380014,2.064846754,0.555499971,1.632698417,0.001,
cifar100_57accur,44,0.454780012,2.045989513,0.569800019,1.577893138,0.001,
cifar100_57accur,45,0.458719999,2.036142588,0.561200023,1.587491155,0.001,
cnn_20240312_023018,1,0.0826599970459938,3.9942524433135986,0.1615000069141388,3.51419997215271,0.001
cnn_20240312_023304,1,0.08315999805927277,4.0274553298950195,0.09489999711513519,3.8920934200286865,0.001
cnn_20240312_023548,1,0.10047999769449234,3.982257604598999,0.14159999787807465,3.657358169555664,0.001
cnn_20240312_023953,1,0.10204000025987625,3.9720911979675293,0.11909999698400497,3.8986074924468994,0.001
cnn_20240312_023953,2,0.1690399944782257,3.479234457015991,0.18719999492168427,3.385849714279175,0.001
cnn_20240312_023953,3,0.21772000193595886,3.194336175918579,0.23260000348091125,3.1981916427612305,0.001
cnn_20240312_023953,4,0.25435999035835266,2.997718334197998,0.2540000081062317,3.1255245208740234,0.001
cnn_20240312_023953,5,0.27733999490737915,2.8723793029785156,0.2800999879837036,2.9170165061950684,0.001
cnn_20240312_023953,6,0.30173999071121216,2.749547243118286,0.3127000033855438,2.7464451789855957,0.001
cnn_20240312_023953,7,0.3218800127506256,2.6536223888397217,0.3352999985218048,2.647646427154541,0.001
cnn_20240312_023953,8,0.3371799886226654,2.573004722595215,0.35030001401901245,2.5151190757751465,0.001
cnn_20240312_023953,9,0.3544999957084656,2.497774600982666,0.364300012588501,2.4554359912872314,0.001
cnn_20240312_023953,10,0.36645999550819397,2.435824394226074,0.349700003862381,2.5745742321014404,0.001
cnn_20240312_023953,11,0.38128000497817993,2.375178337097168,0.35899999737739563,2.554668664932251,0.001
cnn_20240312_023953,12,0.38593998551368713,2.333534002304077,0.39570000767707825,2.3004746437072754,0.001
cnn_20240312_023953,13,0.3968600034713745,2.2896525859832764,0.37290000915527344,2.501767635345459,0.001
cnn_20240312_023953,14,0.4090999960899353,2.240307331085205,0.39570000767707825,2.363253116607666,0.001
cnn_20240312_023953,15,0.41951999068260193,2.197646379470825,0.38989999890327454,2.419504404067993,0.001
cnn_20240312_023953,16,0.42399999499320984,2.1718556880950928,0.3725999891757965,2.5281012058258057,0.001
cnn_20240312_023953,17,0.4909200072288513,1.8772573471069336,0.45829999446868896,2.071627616882324,0.00020000001
cnn_20240312_023953,18,0.5060999989509583,1.816864013671875,0.46059998869895935,2.0906035900115967,0.00020000001
cnn_20240312_023953,19,0.5103800296783447,1.7829324007034302,0.46630001068115234,2.0460216999053955,0.00020000001
cnn_20240312_023953,20,0.5164399743080139,1.7653090953826904,0.46939998865127563,2.054853916168213,0.00020000001
cnn_20240312_023953,21,0.5198000073432922,1.7523143291473389,0.47940000891685486,2.0065906047821045,0.00020000001
cnn_20240312_023953,22,0.524940013885498,1.7237682342529297,0.4699999988079071,2.053934335708618,0.00020000001
cnn_20240312_023953,23,0.5306800007820129,1.7132405042648315,0.4747999906539917,2.02150559425354,0.00020000001
cnn_20240312_023953,24,0.531000018119812,1.698338270187378,0.4779999852180481,2.015122413635254,0.00020000001
cnn_20240312_023953,25,0.5354999899864197,1.6840815544128418,0.4828000068664551,2.0161538124084473,0.00020000001
cnn_20240312_023953,26,0.5509399771690369,1.6198382377624512,0.4903999865055084,1.9666414260864258,4.0000003e-05
cnn_20240312_023953,27,0.5557000041007996,1.6020586490631104,0.492000013589859,1.9556872844696045,4.0000003e-05
cnn_20240312_023953,28,0.5569800138473511,1.59341299533844,0.4867999851703644,1.966766357421875,4.0000003e-05
cnn_20240312_023953,29,0.5586199760437012,1.5902721881866455,0.49320000410079956,1.9666643142700195,4.0000003e-05
cnn_20240312_023953,30,0.5623199939727783,1.5805095434188843,0.49079999327659607,1.9671671390533447,4.0000003e-05
cnn_20240312_023953,31,0.5606399774551392,1.5746335983276367,0.490200012922287,1.9660396575927734,4.0000003e-05
cnn_20240312_023953,32,0.5631800293922424,1.5761862993240356,0.48919999599456787,1.964951753616333,8.000001e-06
cnn_20240312_023953,33,0.5630599856376648,1.5683512687683105,0.491100013256073,1.9543659687042236,8.000001e-06
cnn_20240312_023953,34,0.5656200051307678,1.5563771724700928,0.4896000027656555,1.957329273223877,8.000001e-06
cnn_20240312_023953,35,0.5652199983596802,1.5640900135040283,0.49320000410079956,1.9525210857391357,8.000001e-06
cnn_20240312_023953,36,0.5671799778938293,1.5597132444381714,0.4927000105381012,1.959721326828003,8.000001e-06
cnn_20240312_023953,37,0.5651599764823914,1.5532653331756592,0.49219998717308044,1.9600725173950195,8.000001e-06
cnn_20240312_023953,38,0.5665000081062317,1.5599637031555176,0.49300000071525574,1.958860993385315,8.000001e-06
cnn_20240312_023953,39,0.5673199892044067,1.5604619979858398,0.4932999908924103,1.9556878805160522,8.000001e-06
cnn_20240312_023953,40,0.5675600171089172,1.5533254146575928,0.492000013589859,1.9628061056137085,1.6000001e-06
cnn_20240312_023953,41,0.5674200057983398,1.5575904846191406,0.49050000309944153,1.960923433303833,1.6000001e-06
cnn_20240312_023953,42,0.5662800073623657,1.5515869855880737,0.4916999936103821,1.9629998207092285,1.6000001e-06
cnn_20240312_023953,43,0.5669999718666077,1.5544687509536743,0.4916999936103821,1.9598115682601929,1.6000001e-06
cnn_20240315_175649,1,0.07940000295639038,4.189681529998779,0.1370999962091446,3.7009100914001465,0.001
cnn_20240315_175649,2,0.15525999665260315,3.5716066360473633,0.14069999754428864,3.7748148441314697,0.001
cnn_20240315_175649,3,0.20972000062465668,3.2390878200531006,0.2363000065088272,3.182020664215088,0.001
cnn_20240315_175649,4,0.257999986410141,2.97004771232605,0.2599000036716461,3.03352689743042,0.001
cnn_20240315_175649,5,0.29179999232292175,2.7780561447143555,0.3465000092983246,2.490938425064087,0.001
